Kommune (Municipality),Kommunenummer (Municipality Number),Prisområde (Price Zone)
Skien,4003,NO2
Tinn,4026,NO1
Tokke,4034,NO2
Vinje,4036,NO2
Troms,,
Balsfjord,5532,NO4
Bardu,5520,NO4
Dyrøy,5528,NO4
Gratangen,5516,NO4
Harstad,5503,NO4
Ibestad,5514,NO4
Karlsøy,5534,NO4
Kvæfjord,5510,NO4
Kåfjord - Gáivuotna - Kaivuono,5540,NO4
Lavangen - Loabák,5518,NO4
Lyngen,5536,NO4
Målselv,5524,NO4
Salangen,5522,NO4
Senja,5530,NO4
Skjervøy,5542,NO4
Storfjord - Omasvuotna - Omasvuono,5538,NO4
Sørreisa,5526,NO4
Tjeldsund - Dielddanuorri,5512,NO4
Tromsø,5501,NO4
Trøndelag,,
Flatanger,5049,NO3
Frosta,5036,NO3
Frøya,5014,NO3
Grong,5045,NO4
Heim,5055,NO3
Hitra,5056,NO3
Holtålen,5026,NO3
Hoylandet,5046,NO4
Inderøy,5053,NO3
Indre Fosen,5054,NO3
Leka,5052,NO4
Levanger,5037,NO3
Lierne,5042,NO4
Malvik,5031,NO3
Melhus,5028,NO3
Meråker,5034,NO3
Midtre Gauldal,5027,NO3
Namsos,5007,NO4
Namsskogan,5044,NO4
Nærøysund,5060,NO4
Oppdal,5021,NO3
Orkland,5059,NO3
Osen,5020,NO3
Overhalla,5047,NO4
Rennebu,5022,NO3
Rindal,5061,NO3
Røros,5025,NO3
Røyrvik,5043,NO4
Selbu,5032,NO3
Skaun,5029,NO3
Snåsa - Snåase,5041,NO4
Steinkjer,5006,NO3
Stjørdal,5035,NO3
Trondheim,5001,NO3
Tydal,5033,NO3
Verdal,5038,NO3
Ørland,5057,NO3
Åfjord,5058,NO3
Vestfold,,
Færder,3911,NO1
Holmestrand,3903,NO1
Horten,3901,NO1
Larvik,3909,NO1
Sandefjord,3907,NO1
Tønsberg,3905,NO1
Vestland,,
Alver,4631,NO5
Askvoll,4645,NO5
Askøy,4627,NO5
Aurland,4641,NO5
Austevoll,4625,NO5
Austrheim,4632,NO5
Bergen,4601,NO5
Bjørnafjorden,4624,NO5
Bremanger,4648,NO3
Bømlo,4613,NO5
Eidfjord,4619,NO5
Etne,4611,NO2
Fedje,4633,NO5
Fitjar,4615,NO5
Fjaler,4646,NO5
Gloppen,4650,NO3
Gulen,4636,NO5
Hyllestad,4637,NO5
Høyanger,4638,NO5
Kinn,4602,NO3
Kvam,4623,NO5
Kvinnherad,4617,NO5
Luster,4644,NO5
Lærdal,4642,NO5
Masfjorden,4634,NO5
Modalen,4630,NO5
Osterøy,4629,NO5
Samnanger,4626,NO5
Sogndal,4640,NO5
Solund,4635,NO5
Stad,4649,NO3
Stord,4614,NO5
Stryn,4651,NO3
Sunnfjord,4647,NO5
Sveio,4612,NO2
Tysnes,4616,NO5
Ullensvang,4618,NO5
Ulvik,4620,NO5
Vaksdal,4622,NO5
Vik,4639,NO5
Voss,4621,NO5
Øygarden,4628,NO5
Årdal,4643,NO5
Østfold,,
Aremark,3124,NO1
Fredrikstad,3107,NO1
Halden,3101,NO1
Hvaler,3110,NO1
Indre Østfold,3118,NO1
Marker,3122,NO1
Moss,3103,NO1
Rakkestad,3120,NO1
Råde,3112,NO1
Sarpsborg,3105,NO1
Skiptvet,3116,NO1
Våler,3114,NO1
